1	-0.08	1530	1.00	-0.00	6.73	0.07%	0.00000000	h1_value=5 	trade_dur=5 	h_williamsS=10 	williams_thresholdS=-8	h2_value=5 	h_williamsL=15 	williams_thresholdL=-86 	ma_period1=7 	ma_period2=14 	ma_shift=14 	stoch_k=3 	stoch_delay=3 	stoch_d=1 	order_volume=0.01 	stoch_testval=0.01 	broker_payout=0.75 	m_min=0 	ma_threshold=-0.5 	stake=100 	testmode=0
2	-3.21	1551	0.98	-0.00	8.90	0.09%	0.00000000	h1_value=10 	trade_dur=5 	h_williamsS=10 	williams_thresholdS=-8	h2_value=5 	h_williamsL=15 	williams_thresholdL=-86 	ma_period1=7 	ma_period2=14 	ma_shift=14 	stoch_k=3 	stoch_delay=3 	stoch_d=1 	order_volume=0.01 	stoch_testval=0.01 	broker_payout=0.75 	m_min=0 	ma_threshold=-0.5 	stake=100 	testmode=0
3	-3.78	1341	0.97	-0.00	9.70	0.10%	0.00000000	h1_value=15 	trade_dur=5 	h_williamsS=10 	williams_thresholdS=-8	h2_value=5 	h_williamsL=15 	williams_thresholdL=-86 	ma_period1=7 	ma_period2=14 	ma_shift=14 	stoch_k=3 	stoch_delay=3 	stoch_d=1 	order_volume=0.01 	stoch_testval=0.01 	broker_payout=0.75 	m_min=0 	ma_threshold=-0.5 	stake=100 	testmode=0
4	-11.57	1184	0.90	-0.01	16.42	0.16%	0.00000000	h1_value=20 	trade_dur=5 	h_williamsS=10 	williams_thresholdS=-8	h2_value=5 	h_williamsL=15 	williams_thresholdL=-86 	ma_period1=7 	ma_period2=14 	ma_shift=14 	stoch_k=3 	stoch_delay=3 	stoch_d=1 	order_volume=0.01 	stoch_testval=0.01 	broker_payout=0.75 	m_min=0 	ma_threshold=-0.5 	stake=100 	testmode=0
5	-9.79	1080	0.90	-0.01	13.59	0.14%	0.00000000	h1_value=25 	trade_dur=5 	h_williamsS=10 	williams_thresholdS=-8	h2_value=5 	h_williamsL=15 	williams_thresholdL=-86 	ma_period1=7 	ma_period2=14 	ma_shift=14 	stoch_k=3 	stoch_delay=3 	stoch_d=1 	order_volume=0.01 	stoch_testval=0.01 	broker_payout=0.75 	m_min=0 	ma_threshold=-0.5 	stake=100 	testmode=0
6	-5.28	1013	0.94	-0.01	10.28	0.10%	0.00000000	h1_value=30 	trade_dur=5 	h_williamsS=10 	williams_thresholdS=-8	h2_value=5 	h_williamsL=15 	williams_thresholdL=-86 	ma_period1=7 	ma_period2=14 	ma_shift=14 	stoch_k=3 	stoch_delay=3 	stoch_d=1 	order_volume=0.01 	stoch_testval=0.01 	broker_payout=0.75 	m_min=0 	ma_threshold=-0.5 	stake=100 	testmode=0
7	-0.90	980	0.99	-0.00	7.23	0.07%	0.00000000	h1_value=35 	trade_dur=5 	h_williamsS=10 	williams_thresholdS=-8	h2_value=5 	h_williamsL=15 	williams_thresholdL=-86 	ma_period1=7 	ma_period2=14 	ma_shift=14 	stoch_k=3 	stoch_delay=3 	stoch_d=1 	order_volume=0.01 	stoch_testval=0.01 	broker_payout=0.75 	m_min=0 	ma_threshold=-0.5 	stake=100 	testmode=0
8	1.19	939	1.01	0.00	6.94	0.07%	0.00000000	h1_value=40 	trade_dur=5 	h_williamsS=10 	williams_thresholdS=-8	h2_value=5 	h_williamsL=15 	williams_thresholdL=-86 	ma_period1=7 	ma_period2=14 	ma_shift=14 	stoch_k=3 	stoch_delay=3 	stoch_d=1 	order_volume=0.01 	stoch_testval=0.01 	broker_payout=0.75 	m_min=0 	ma_threshold=-0.5 	stake=100 	testmode=0
9	2.37	928	1.03	0.00	6.87	0.07%	0.00000000	h1_value=45 	trade_dur=5 	h_williamsS=10 	williams_thresholdS=-8	h2_value=5 	h_williamsL=15 	williams_thresholdL=-86 	ma_period1=7 	ma_period2=14 	ma_shift=14 	stoch_k=3 	stoch_delay=3 	stoch_d=1 	order_volume=0.01 	stoch_testval=0.01 	broker_payout=0.75 	m_min=0 	ma_threshold=-0.5 	stake=100 	testmode=0
10	0.32	919	1.00	0.00	6.82	0.07%	0.00000000	h1_value=50 	trade_dur=5 	h_williamsS=10 	williams_thresholdS=-8	h2_value=5 	h_williamsL=15 	williams_thresholdL=-86 	ma_period1=7 	ma_period2=14 	ma_shift=14 	stoch_k=3 	stoch_delay=3 	stoch_d=1 	order_volume=0.01 	stoch_testval=0.01 	broker_payout=0.75 	m_min=0 	ma_threshold=-0.5 	stake=100 	testmode=0
11	2.12	909	1.03	0.00	7.00	0.07%	0.00000000	h1_value=55 	trade_dur=5 	h_williamsS=10 	williams_thresholdS=-8	h2_value=5 	h_williamsL=15 	williams_thresholdL=-86 	ma_period1=7 	ma_period2=14 	ma_shift=14 	stoch_k=3 	stoch_delay=3 	stoch_d=1 	order_volume=0.01 	stoch_testval=0.01 	broker_payout=0.75 	m_min=0 	ma_threshold=-0.5 	stake=100 	testmode=0
