1	-127.16	14693	0.90	-0.01	132.83	1.33%	0.00000000	h1_value=30 	trade_dur=1	h2_value=5 	h_williamsS=35 	h_williamsL=15 	williams_thresholdS=-6 	williams_thresholdL=-86 	ma_period1=7 	ma_period2=14 	ma_shift=14 	stoch_k=3 	stoch_delay=3 	stoch_d=1 	order_volume=0.01 	stoch_testval=0.01 	broker_payout=0.75 	m_min=0 	ma_threshold=-0.5 	open_threshold=1 	stake=100 	testmode=0
2	-106.87	12377	0.90	-0.01	109.89	1.10%	0.00000000	h1_value=40 	trade_dur=1	h2_value=5 	h_williamsS=35 	h_williamsL=15 	williams_thresholdS=-6 	williams_thresholdL=-86 	ma_period1=7 	ma_period2=14 	ma_shift=14 	stoch_k=3 	stoch_delay=3 	stoch_d=1 	order_volume=0.01 	stoch_testval=0.01 	broker_payout=0.75 	m_min=0 	ma_threshold=-0.5 	open_threshold=1 	stake=100 	testmode=0
3	-105.67	10718	0.89	-0.01	109.15	1.09%	0.00000000	h1_value=50 	trade_dur=1	h2_value=5 	h_williamsS=35 	h_williamsL=15 	williams_thresholdS=-6 	williams_thresholdL=-86 	ma_period1=7 	ma_period2=14 	ma_shift=14 	stoch_k=3 	stoch_delay=3 	stoch_d=1 	order_volume=0.01 	stoch_testval=0.01 	broker_payout=0.75 	m_min=0 	ma_threshold=-0.5 	open_threshold=1 	stake=100 	testmode=0
4	-95.18	9500	0.90	-0.01	98.98	0.99%	0.00000000	h1_value=60 	trade_dur=1	h2_value=5 	h_williamsS=35 	h_williamsL=15 	williams_thresholdS=-6 	williams_thresholdL=-86 	ma_period1=7 	ma_period2=14 	ma_shift=14 	stoch_k=3 	stoch_delay=3 	stoch_d=1 	order_volume=0.01 	stoch_testval=0.01 	broker_payout=0.75 	m_min=0 	ma_threshold=-0.5 	open_threshold=1 	stake=100 	testmode=0
5	-90.49	8633	0.89	-0.01	93.05	0.93%	0.00000000	h1_value=70 	trade_dur=1	h2_value=5 	h_williamsS=35 	h_williamsL=15 	williams_thresholdS=-6 	williams_thresholdL=-86 	ma_period1=7 	ma_period2=14 	ma_shift=14 	stoch_k=3 	stoch_delay=3 	stoch_d=1 	order_volume=0.01 	stoch_testval=0.01 	broker_payout=0.75 	m_min=0 	ma_threshold=-0.5 	open_threshold=1 	stake=100 	testmode=0
6	-88.75	7999	0.89	-0.01	91.15	0.91%	0.00000000	h1_value=80 	trade_dur=1	h2_value=5 	h_williamsS=35 	h_williamsL=15 	williams_thresholdS=-6 	williams_thresholdL=-86 	ma_period1=7 	ma_period2=14 	ma_shift=14 	stoch_k=3 	stoch_delay=3 	stoch_d=1 	order_volume=0.01 	stoch_testval=0.01 	broker_payout=0.75 	m_min=0 	ma_threshold=-0.5 	open_threshold=1 	stake=100 	testmode=0
7	-84.65	7459	0.89	-0.01	87.02	0.87%	0.00000000	h1_value=90 	trade_dur=1	h2_value=5 	h_williamsS=35 	h_williamsL=15 	williams_thresholdS=-6 	williams_thresholdL=-86 	ma_period1=7 	ma_period2=14 	ma_shift=14 	stoch_k=3 	stoch_delay=3 	stoch_d=1 	order_volume=0.01 	stoch_testval=0.01 	broker_payout=0.75 	m_min=0 	ma_threshold=-0.5 	open_threshold=1 	stake=100 	testmode=0
8	-81.22	7087	0.89	-0.01	83.59	0.84%	0.00000000	h1_value=100 	trade_dur=1	h2_value=5 	h_williamsS=35 	h_williamsL=15 	williams_thresholdS=-6 	williams_thresholdL=-86 	ma_period1=7 	ma_period2=14 	ma_shift=14 	stoch_k=3 	stoch_delay=3 	stoch_d=1 	order_volume=0.01 	stoch_testval=0.01 	broker_payout=0.75 	m_min=0 	ma_threshold=-0.5 	open_threshold=1 	stake=100 	testmode=0
9	-78.28	6664	0.89	-0.01	80.65	0.81%	0.00000000	h1_value=110 	trade_dur=1	h2_value=5 	h_williamsS=35 	h_williamsL=15 	williams_thresholdS=-6 	williams_thresholdL=-86 	ma_period1=7 	ma_period2=14 	ma_shift=14 	stoch_k=3 	stoch_delay=3 	stoch_d=1 	order_volume=0.01 	stoch_testval=0.01 	broker_payout=0.75 	m_min=0 	ma_threshold=-0.5 	open_threshold=1 	stake=100 	testmode=0
10	-79.28	6347	0.88	-0.01	81.65	0.82%	0.00000000	h1_value=120 	trade_dur=1	h2_value=5 	h_williamsS=35 	h_williamsL=15 	williams_thresholdS=-6 	williams_thresholdL=-86 	ma_period1=7 	ma_period2=14 	ma_shift=14 	stoch_k=3 	stoch_delay=3 	stoch_d=1 	order_volume=0.01 	stoch_testval=0.01 	broker_payout=0.75 	m_min=0 	ma_threshold=-0.5 	open_threshold=1 	stake=100 	testmode=0
11	-76.46	6008	0.88	-0.01	78.87	0.79%	0.00000000	h1_value=130 	trade_dur=1	h2_value=5 	h_williamsS=35 	h_williamsL=15 	williams_thresholdS=-6 	williams_thresholdL=-86 	ma_period1=7 	ma_period2=14 	ma_shift=14 	stoch_k=3 	stoch_delay=3 	stoch_d=1 	order_volume=0.01 	stoch_testval=0.01 	broker_payout=0.75 	m_min=0 	ma_threshold=-0.5 	open_threshold=1 	stake=100 	testmode=0
