1	82.05	1181	1.35	0.07	21.72	0.22%	0.00000000	h1_value=10 	h1_ma=5	h2_value=5 	trade_dur=15 	ATR_period=32 	n_lookback=8 	h_williamsS=55 	h_williamsL=15 	williams_thresholdS=-2 	williams_thresholdL=-86 	ma_period1=7 	ma_period2=14 	ma_shift=14 	order_volume=0.01 	thres=0.01 	ATR_max=0.0003 	broker_payout=0.75 	m_min=0 	ma_threshold=1 	open_threshold=1 	stake=100 	testmode=0
2	72.92	1012	1.37	0.07	22.46	0.22%	0.00000000	h1_value=15 	h1_ma=5	h2_value=5 	trade_dur=15 	ATR_period=32 	n_lookback=8 	h_williamsS=55 	h_williamsL=15 	williams_thresholdS=-2 	williams_thresholdL=-86 	ma_period1=7 	ma_period2=14 	ma_shift=14 	order_volume=0.01 	thres=0.01 	ATR_max=0.0003 	broker_payout=0.75 	m_min=0 	ma_threshold=1 	open_threshold=1 	stake=100 	testmode=0
3	73.68	924	1.42	0.08	22.71	0.23%	0.00000000	h1_value=20 	h1_ma=5	h2_value=5 	trade_dur=15 	ATR_period=32 	n_lookback=8 	h_williamsS=55 	h_williamsL=15 	williams_thresholdS=-2 	williams_thresholdL=-86 	ma_period1=7 	ma_period2=14 	ma_shift=14 	order_volume=0.01 	thres=0.01 	ATR_max=0.0003 	broker_payout=0.75 	m_min=0 	ma_threshold=1 	open_threshold=1 	stake=100 	testmode=0
4	73.80	881	1.44	0.08	22.51	0.22%	0.00000000	h1_value=25 	h1_ma=5	h2_value=5 	trade_dur=15 	ATR_period=32 	n_lookback=8 	h_williamsS=55 	h_williamsL=15 	williams_thresholdS=-2 	williams_thresholdL=-86 	ma_period1=7 	ma_period2=14 	ma_shift=14 	order_volume=0.01 	thres=0.01 	ATR_max=0.0003 	broker_payout=0.75 	m_min=0 	ma_threshold=1 	open_threshold=1 	stake=100 	testmode=0
5	70.02	812	1.45	0.09	21.49	0.21%	0.00000000	h1_value=30 	h1_ma=5	h2_value=5 	trade_dur=15 	ATR_period=32 	n_lookback=8 	h_williamsS=55 	h_williamsL=15 	williams_thresholdS=-2 	williams_thresholdL=-86 	ma_period1=7 	ma_period2=14 	ma_shift=14 	order_volume=0.01 	thres=0.01 	ATR_max=0.0003 	broker_payout=0.75 	m_min=0 	ma_threshold=1 	open_threshold=1 	stake=100 	testmode=0
6	51.79	771	1.32	0.07	22.51	0.22%	0.00000000	h1_value=35 	h1_ma=5	h2_value=5 	trade_dur=15 	ATR_period=32 	n_lookback=8 	h_williamsS=55 	h_williamsL=15 	williams_thresholdS=-2 	williams_thresholdL=-86 	ma_period1=7 	ma_period2=14 	ma_shift=14 	order_volume=0.01 	thres=0.01 	ATR_max=0.0003 	broker_payout=0.75 	m_min=0 	ma_threshold=1 	open_threshold=1 	stake=100 	testmode=0
7	39.77	721	1.25	0.06	23.56	0.24%	0.00000000	h1_value=40 	h1_ma=5	h2_value=5 	trade_dur=15 	ATR_period=32 	n_lookback=8 	h_williamsS=55 	h_williamsL=15 	williams_thresholdS=-2 	williams_thresholdL=-86 	ma_period1=7 	ma_period2=14 	ma_shift=14 	order_volume=0.01 	thres=0.01 	ATR_max=0.0003 	broker_payout=0.75 	m_min=0 	ma_threshold=1 	open_threshold=1 	stake=100 	testmode=0
8	47.50	692	1.32	0.07	24.02	0.24%	0.00000000	h1_value=45 	h1_ma=5	h2_value=5 	trade_dur=15 	ATR_period=32 	n_lookback=8 	h_williamsS=55 	h_williamsL=15 	williams_thresholdS=-2 	williams_thresholdL=-86 	ma_period1=7 	ma_period2=14 	ma_shift=14 	order_volume=0.01 	thres=0.01 	ATR_max=0.0003 	broker_payout=0.75 	m_min=0 	ma_threshold=1 	open_threshold=1 	stake=100 	testmode=0
9	33.91	662	1.22	0.05	23.45	0.23%	0.00000000	h1_value=50 	h1_ma=5	h2_value=5 	trade_dur=15 	ATR_period=32 	n_lookback=8 	h_williamsS=55 	h_williamsL=15 	williams_thresholdS=-2 	williams_thresholdL=-86 	ma_period1=7 	ma_period2=14 	ma_shift=14 	order_volume=0.01 	thres=0.01 	ATR_max=0.0003 	broker_payout=0.75 	m_min=0 	ma_threshold=1 	open_threshold=1 	stake=100 	testmode=0
10	29.23	645	1.19	0.05	24.64	0.25%	0.00000000	h1_value=55 	h1_ma=5	h2_value=5 	trade_dur=15 	ATR_period=32 	n_lookback=8 	h_williamsS=55 	h_williamsL=15 	williams_thresholdS=-2 	williams_thresholdL=-86 	ma_period1=7 	ma_period2=14 	ma_shift=14 	order_volume=0.01 	thres=0.01 	ATR_max=0.0003 	broker_payout=0.75 	m_min=0 	ma_threshold=1 	open_threshold=1 	stake=100 	testmode=0
11	30.04	617	1.20	0.05	24.04	0.24%	0.00000000	h1_value=60 	h1_ma=5	h2_value=5 	trade_dur=15 	ATR_period=32 	n_lookback=8 	h_williamsS=55 	h_williamsL=15 	williams_thresholdS=-2 	williams_thresholdL=-86 	ma_period1=7 	ma_period2=14 	ma_shift=14 	order_volume=0.01 	thres=0.01 	ATR_max=0.0003 	broker_payout=0.75 	m_min=0 	ma_threshold=1 	open_threshold=1 	stake=100 	testmode=0
