109	43.90	342	2.01	0.13	4.66	0.05%	0.00000000	wrate_lookback=80 	k_delta_calc=0.2 	wrate_target=0.77	h1_value=30 	h1_ma=5 	k1_value=60 	k1_ma=25 	trade_dur=15 	order_volume=0.01 	thres=0.01 	broker_payout=0.8 	stake=100 	testmode=1
84	43.90	342	2.01	0.13	4.66	0.05%	0.00000000	wrate_lookback=80 	k_delta_calc=0.2 	wrate_target=0.73	h1_value=30 	h1_ma=5 	k1_value=60 	k1_ma=25 	trade_dur=15 	order_volume=0.01 	thres=0.01 	broker_payout=0.8 	stake=100 	testmode=1
59	43.90	342	2.01	0.13	4.66	0.05%	0.00000000	wrate_lookback=80 	k_delta_calc=0.2 	wrate_target=0.69	h1_value=30 	h1_ma=5 	k1_value=60 	k1_ma=25 	trade_dur=15 	order_volume=0.01 	thres=0.01 	broker_payout=0.8 	stake=100 	testmode=1
9	43.72	368	1.84	0.12	12.66	0.13%	0.00000000	wrate_lookback=80 	k_delta_calc=0.2 	wrate_target=0.61	h1_value=30 	h1_ma=5 	k1_value=60 	k1_ma=25 	trade_dur=15 	order_volume=0.01 	thres=0.01 	broker_payout=0.8 	stake=100 	testmode=1
18	42.91	340	1.76	0.13	12.66	0.13%	0.00000000	wrate_lookback=60 	k_delta_calc=0.6 	wrate_target=0.61	h1_value=30 	h1_ma=5 	k1_value=60 	k1_ma=25 	trade_dur=15 	order_volume=0.01 	thres=0.01 	broker_payout=0.8 	stake=100 	testmode=1
118	42.89	290	1.99	0.15	6.17	0.06%	0.00000000	wrate_lookback=60 	k_delta_calc=0.6 	wrate_target=0.77	h1_value=30 	h1_ma=5 	k1_value=60 	k1_ma=25 	trade_dur=15 	order_volume=0.01 	thres=0.01 	broker_payout=0.8 	stake=100 	testmode=1
34	41.39	358	1.81	0.12	12.66	0.13%	0.00000000	wrate_lookback=80 	k_delta_calc=0.2 	wrate_target=0.65	h1_value=30 	h1_ma=5 	k1_value=60 	k1_ma=25 	trade_dur=15 	order_volume=0.01 	thres=0.01 	broker_payout=0.8 	stake=100 	testmode=1
114	40.36	322	2.08	0.13	4.66	0.05%	0.00000000	wrate_lookback=80 	k_delta_calc=0.4 	wrate_target=0.77	h1_value=30 	h1_ma=5 	k1_value=60 	k1_ma=25 	trade_dur=15 	order_volume=0.01 	thres=0.01 	broker_payout=0.8 	stake=100 	testmode=1
89	40.36	322	2.08	0.13	4.66	0.05%	0.00000000	wrate_lookback=80 	k_delta_calc=0.4 	wrate_target=0.73	h1_value=30 	h1_ma=5 	k1_value=60 	k1_ma=25 	trade_dur=15 	order_volume=0.01 	thres=0.01 	broker_payout=0.8 	stake=100 	testmode=1
64	40.36	322	2.08	0.13	4.66	0.05%	0.00000000	wrate_lookback=80 	k_delta_calc=0.4 	wrate_target=0.69	h1_value=30 	h1_ma=5 	k1_value=60 	k1_ma=25 	trade_dur=15 	order_volume=0.01 	thres=0.01 	broker_payout=0.8 	stake=100 	testmode=1
25	40.16	410	1.69	0.10	12.66	0.13%	0.00000000	wrate_lookback=100 	k_delta_calc=0.8 	wrate_target=0.61	h1_value=30 	h1_ma=5 	k1_value=60 	k1_ma=25 	trade_dur=15 	order_volume=0.01 	thres=0.01 	broker_payout=0.8 	stake=100 	testmode=1
43	39.94	327	1.72	0.12	12.66	0.13%	0.00000000	wrate_lookback=60 	k_delta_calc=0.6 	wrate_target=0.65	h1_value=30 	h1_ma=5 	k1_value=60 	k1_ma=25 	trade_dur=15 	order_volume=0.01 	thres=0.01 	broker_payout=0.8 	stake=100 	testmode=1
93	39.92	296	1.86	0.13	6.17	0.06%	0.00000000	wrate_lookback=60 	k_delta_calc=0.6 	wrate_target=0.73	h1_value=30 	h1_ma=5 	k1_value=60 	k1_ma=25 	trade_dur=15 	order_volume=0.01 	thres=0.01 	broker_payout=0.8 	stake=100 	testmode=1
20	39.11	419	1.64	0.09	12.66	0.13%	0.00000000	wrate_lookback=100 	k_delta_calc=0.6 	wrate_target=0.61	h1_value=30 	h1_ma=5 	k1_value=60 	k1_ma=25 	trade_dur=15 	order_volume=0.01 	thres=0.01 	broker_payout=0.8 	stake=100 	testmode=1
113	39.05	308	1.81	0.13	12.66	0.13%	0.00000000	wrate_lookback=60 	k_delta_calc=0.4 	wrate_target=0.77	h1_value=30 	h1_ma=5 	k1_value=60 	k1_ma=25 	trade_dur=15 	order_volume=0.01 	thres=0.01 	broker_payout=0.8 	stake=100 	testmode=1
8	38.60	360	1.62	0.11	12.66	0.13%	0.00000000	wrate_lookback=60 	k_delta_calc=0.2 	wrate_target=0.61	h1_value=30 	h1_ma=5 	k1_value=60 	k1_ma=25 	trade_dur=15 	order_volume=0.01 	thres=0.01 	broker_payout=0.8 	stake=100 	testmode=1
39	37.97	349	1.78	0.11	12.66	0.13%	0.00000000	wrate_lookback=80 	k_delta_calc=0.4 	wrate_target=0.65	h1_value=30 	h1_ma=5 	k1_value=60 	k1_ma=25 	trade_dur=15 	order_volume=0.01 	thres=0.01 	broker_payout=0.8 	stake=100 	testmode=1
10	37.89	427	1.59	0.09	12.66	0.13%	0.00000000	wrate_lookback=100 	k_delta_calc=0.2 	wrate_target=0.61	h1_value=30 	h1_ma=5 	k1_value=60 	k1_ma=25 	trade_dur=15 	order_volume=0.01 	thres=0.01 	broker_payout=0.8 	stake=100 	testmode=1
68	37.82	308	1.73	0.12	6.17	0.06%	0.00000000	wrate_lookback=60 	k_delta_calc=0.6 	wrate_target=0.69	h1_value=30 	h1_ma=5 	k1_value=60 	k1_ma=25 	trade_dur=15 	order_volume=0.01 	thres=0.01 	broker_payout=0.8 	stake=100 	testmode=1
13	37.71	332	1.69	0.11	12.66	0.13%	0.00000000	wrate_lookback=60 	k_delta_calc=0.4 	wrate_target=0.61	h1_value=30 	h1_ma=5 	k1_value=60 	k1_ma=25 	trade_dur=15 	order_volume=0.01 	thres=0.01 	broker_payout=0.8 	stake=100 	testmode=1
104	37.48	317	1.80	0.12	12.66	0.13%	0.00000000	wrate_lookback=80 	k_delta_calc=0 	wrate_target=0.77	h1_value=30 	h1_ma=5 	k1_value=60 	k1_ma=25 	trade_dur=15 	order_volume=0.01 	thres=0.01 	broker_payout=0.8 	stake=100 	testmode=1
79	37.48	317	1.80	0.12	12.66	0.13%	0.00000000	wrate_lookback=80 	k_delta_calc=0 	wrate_target=0.73	h1_value=30 	h1_ma=5 	k1_value=60 	k1_ma=25 	trade_dur=15 	order_volume=0.01 	thres=0.01 	broker_payout=0.8 	stake=100 	testmode=1
54	37.48	317	1.80	0.12	12.66	0.13%	0.00000000	wrate_lookback=80 	k_delta_calc=0 	wrate_target=0.69	h1_value=30 	h1_ma=5 	k1_value=60 	k1_ma=25 	trade_dur=15 	order_volume=0.01 	thres=0.01 	broker_payout=0.8 	stake=100 	testmode=1
29	37.48	317	1.80	0.12	12.66	0.13%	0.00000000	wrate_lookback=80 	k_delta_calc=0 	wrate_target=0.65	h1_value=30 	h1_ma=5 	k1_value=60 	k1_ma=25 	trade_dur=15 	order_volume=0.01 	thres=0.01 	broker_payout=0.8 	stake=100 	testmode=1
4	37.48	317	1.80	0.12	12.66	0.13%	0.00000000	wrate_lookback=80 	k_delta_calc=0 	wrate_target=0.61	h1_value=30 	h1_ma=5 	k1_value=60 	k1_ma=25 	trade_dur=15 	order_volume=0.01 	thres=0.01 	broker_payout=0.8 	stake=100 	testmode=1
15	37.29	429	1.58	0.09	12.66	0.13%	0.00000000	wrate_lookback=100 	k_delta_calc=0.4 	wrate_target=0.61	h1_value=30 	h1_ma=5 	k1_value=60 	k1_ma=25 	trade_dur=15 	order_volume=0.01 	thres=0.01 	broker_payout=0.8 	stake=100 	testmode=1
33	37.06	355	1.59	0.10	12.66	0.13%	0.00000000	wrate_lookback=60 	k_delta_calc=0.2 	wrate_target=0.65	h1_value=30 	h1_ma=5 	k1_value=60 	k1_ma=25 	trade_dur=15 	order_volume=0.01 	thres=0.01 	broker_payout=0.8 	stake=100 	testmode=1
