1	11.28	1084	1.08	0.01	12.05	0.12%	0.00000000	h1_value=10 	h_williamsS=5 	williams_thresholdS=-15	h2_value=50 	trade_dur=5 	h_williamsL=10 	williams_thresholdL=-85 	order_volume=0.01 	corr_threshold=0.66 	open_order_open=1
2	12.27	982	1.10	0.01	9.64	0.10%	0.00000000	h1_value=12 	h_williamsS=5 	williams_thresholdS=-15	h2_value=50 	trade_dur=5 	h_williamsL=10 	williams_thresholdL=-85 	order_volume=0.01 	corr_threshold=0.66 	open_order_open=1
3	9.34	892	1.08	0.01	8.89	0.09%	0.00000000	h1_value=14 	h_williamsS=5 	williams_thresholdS=-15	h2_value=50 	trade_dur=5 	h_williamsL=10 	williams_thresholdL=-85 	order_volume=0.01 	corr_threshold=0.66 	open_order_open=1
4	8.11	816	1.08	0.01	8.20	0.08%	0.00000000	h1_value=16 	h_williamsS=5 	williams_thresholdS=-15	h2_value=50 	trade_dur=5 	h_williamsL=10 	williams_thresholdL=-85 	order_volume=0.01 	corr_threshold=0.66 	open_order_open=1
5	6.88	765	1.07	0.01	8.08	0.08%	0.00000000	h1_value=18 	h_williamsS=5 	williams_thresholdS=-15	h2_value=50 	trade_dur=5 	h_williamsL=10 	williams_thresholdL=-85 	order_volume=0.01 	corr_threshold=0.66 	open_order_open=1
6	3.98	723	1.04	0.01	8.48	0.08%	0.00000000	h1_value=20 	h_williamsS=5 	williams_thresholdS=-15	h2_value=50 	trade_dur=5 	h_williamsL=10 	williams_thresholdL=-85 	order_volume=0.01 	corr_threshold=0.66 	open_order_open=1
7	1.15	688	1.01	0.00	10.15	0.10%	0.00000000	h1_value=22 	h_williamsS=5 	williams_thresholdS=-15	h2_value=50 	trade_dur=5 	h_williamsL=10 	williams_thresholdL=-85 	order_volume=0.01 	corr_threshold=0.66 	open_order_open=1
8	0.42	652	1.00	0.00	10.77	0.11%	0.00000000	h1_value=24 	h_williamsS=5 	williams_thresholdS=-15	h2_value=50 	trade_dur=5 	h_williamsL=10 	williams_thresholdL=-85 	order_volume=0.01 	corr_threshold=0.66 	open_order_open=1
9	0.23	626	1.00	0.00	9.37	0.09%	0.00000000	h1_value=26 	h_williamsS=5 	williams_thresholdS=-15	h2_value=50 	trade_dur=5 	h_williamsL=10 	williams_thresholdL=-85 	order_volume=0.01 	corr_threshold=0.66 	open_order_open=1
10	-0.45	601	0.99	-0.00	10.36	0.10%	0.00000000	h1_value=28 	h_williamsS=5 	williams_thresholdS=-15	h2_value=50 	trade_dur=5 	h_williamsL=10 	williams_thresholdL=-85 	order_volume=0.01 	corr_threshold=0.66 	open_order_open=1
11	-2.38	580	0.97	-0.00	11.25	0.11%	0.00000000	h1_value=30 	h_williamsS=5 	williams_thresholdS=-15	h2_value=50 	trade_dur=5 	h_williamsL=10 	williams_thresholdL=-85 	order_volume=0.01 	corr_threshold=0.66 	open_order_open=1
12	-1.89	562	0.98	-0.00	11.95	0.12%	0.00000000	h1_value=32 	h_williamsS=5 	williams_thresholdS=-15	h2_value=50 	trade_dur=5 	h_williamsL=10 	williams_thresholdL=-85 	order_volume=0.01 	corr_threshold=0.66 	open_order_open=1
13	-0.32	547	1.00	-0.00	11.54	0.12%	0.00000000	h1_value=34 	h_williamsS=5 	williams_thresholdS=-15	h2_value=50 	trade_dur=5 	h_williamsL=10 	williams_thresholdL=-85 	order_volume=0.01 	corr_threshold=0.66 	open_order_open=1
14	1.84	529	1.03	0.00	11.96	0.12%	0.00000000	h1_value=36 	h_williamsS=5 	williams_thresholdS=-15	h2_value=50 	trade_dur=5 	h_williamsL=10 	williams_thresholdL=-85 	order_volume=0.01 	corr_threshold=0.66 	open_order_open=1
15	1.30	511	1.02	0.00	12.04	0.12%	0.00000000	h1_value=38 	h_williamsS=5 	williams_thresholdS=-15	h2_value=50 	trade_dur=5 	h_williamsL=10 	williams_thresholdL=-85 	order_volume=0.01 	corr_threshold=0.66 	open_order_open=1
16	1.03	497	1.01	0.00	11.22	0.11%	0.00000000	h1_value=40 	h_williamsS=5 	williams_thresholdS=-15	h2_value=50 	trade_dur=5 	h_williamsL=10 	williams_thresholdL=-85 	order_volume=0.01 	corr_threshold=0.66 	open_order_open=1
17	1.90	483	1.03	0.00	10.54	0.11%	0.00000000	h1_value=42 	h_williamsS=5 	williams_thresholdS=-15	h2_value=50 	trade_dur=5 	h_williamsL=10 	williams_thresholdL=-85 	order_volume=0.01 	corr_threshold=0.66 	open_order_open=1
18	1.89	471	1.03	0.00	11.09	0.11%	0.00000000	h1_value=44 	h_williamsS=5 	williams_thresholdS=-15	h2_value=50 	trade_dur=5 	h_williamsL=10 	williams_thresholdL=-85 	order_volume=0.01 	corr_threshold=0.66 	open_order_open=1
19	-0.23	458	1.00	-0.00	12.99	0.13%	0.00000000	h1_value=46 	h_williamsS=5 	williams_thresholdS=-15	h2_value=50 	trade_dur=5 	h_williamsL=10 	williams_thresholdL=-85 	order_volume=0.01 	corr_threshold=0.66 	open_order_open=1
20	0.06	445	1.00	0.00	12.67	0.13%	0.00000000	h1_value=48 	h_williamsS=5 	williams_thresholdS=-15	h2_value=50 	trade_dur=5 	h_williamsL=10 	williams_thresholdL=-85 	order_volume=0.01 	corr_threshold=0.66 	open_order_open=1
21	1.43	432	1.02	0.00	11.26	0.11%	0.00000000	h1_value=50 	h_williamsS=5 	williams_thresholdS=-15	h2_value=50 	trade_dur=5 	h_williamsL=10 	williams_thresholdL=-85 	order_volume=0.01 	corr_threshold=0.66 	open_order_open=1
22	6.77	1231	1.04	0.01	11.91	0.12%	0.00000000	h1_value=10 	h_williamsS=10 	williams_thresholdS=-15	h2_value=50 	trade_dur=5 	h_williamsL=10 	williams_thresholdL=-85 	order_volume=0.01 	corr_threshold=0.66 	open_order_open=1
