486	8.47	382	1.19	0.02	9.66	0.10%	0.00000000	h1_value=46 	h_momentum=9 	momentum_diff=6 	momentum_max=2 	n=1	h2_value=50 	trade_dur=5 	h_williamsS=10 	h_williamsL=10 	h_rsi=10 	rsi_shift=1 	williams_thresholdS=-15 	williams_thresholdL=-85 	order_volume=0.01 	broker_payout=0.75 	stake=100 	testmode=0
479	8.47	382	1.19	0.02	9.66	0.10%	0.00000000	h1_value=46 	h_momentum=7 	momentum_diff=6 	momentum_max=2 	n=1	h2_value=50 	trade_dur=5 	h_williamsS=10 	h_williamsL=10 	h_rsi=10 	rsi_shift=1 	williams_thresholdS=-15 	williams_thresholdL=-85 	order_volume=0.01 	broker_payout=0.75 	stake=100 	testmode=0
472	8.47	382	1.19	0.02	9.66	0.10%	0.00000000	h1_value=46 	h_momentum=5 	momentum_diff=6 	momentum_max=2 	n=1	h2_value=50 	trade_dur=5 	h_williamsS=10 	h_williamsL=10 	h_rsi=10 	rsi_shift=1 	williams_thresholdS=-15 	williams_thresholdL=-85 	order_volume=0.01 	broker_payout=0.75 	stake=100 	testmode=0
465	8.47	382	1.19	0.02	9.66	0.10%	0.00000000	h1_value=46 	h_momentum=3 	momentum_diff=6 	momentum_max=2 	n=1	h2_value=50 	trade_dur=5 	h_williamsS=10 	h_williamsL=10 	h_rsi=10 	rsi_shift=1 	williams_thresholdS=-15 	williams_thresholdL=-85 	order_volume=0.01 	broker_payout=0.75 	stake=100 	testmode=0
458	8.47	382	1.19	0.02	9.66	0.10%	0.00000000	h1_value=46 	h_momentum=1 	momentum_diff=6 	momentum_max=2 	n=1	h2_value=50 	trade_dur=5 	h_williamsS=10 	h_williamsL=10 	h_rsi=10 	rsi_shift=1 	williams_thresholdS=-15 	williams_thresholdL=-85 	order_volume=0.01 	broker_payout=0.75 	stake=100 	testmode=0
451	8.47	382	1.19	0.02	9.66	0.10%	0.00000000	h1_value=46 	h_momentum=9 	momentum_diff=5 	momentum_max=2 	n=1	h2_value=50 	trade_dur=5 	h_williamsS=10 	h_williamsL=10 	h_rsi=10 	rsi_shift=1 	williams_thresholdS=-15 	williams_thresholdL=-85 	order_volume=0.01 	broker_payout=0.75 	stake=100 	testmode=0
444	8.47	382	1.19	0.02	9.66	0.10%	0.00000000	h1_value=46 	h_momentum=7 	momentum_diff=5 	momentum_max=2 	n=1	h2_value=50 	trade_dur=5 	h_williamsS=10 	h_williamsL=10 	h_rsi=10 	rsi_shift=1 	williams_thresholdS=-15 	williams_thresholdL=-85 	order_volume=0.01 	broker_payout=0.75 	stake=100 	testmode=0
437	8.47	382	1.19	0.02	9.66	0.10%	0.00000000	h1_value=46 	h_momentum=5 	momentum_diff=5 	momentum_max=2 	n=1	h2_value=50 	trade_dur=5 	h_williamsS=10 	h_williamsL=10 	h_rsi=10 	rsi_shift=1 	williams_thresholdS=-15 	williams_thresholdL=-85 	order_volume=0.01 	broker_payout=0.75 	stake=100 	testmode=0
430	8.47	382	1.19	0.02	9.66	0.10%	0.00000000	h1_value=46 	h_momentum=3 	momentum_diff=5 	momentum_max=2 	n=1	h2_value=50 	trade_dur=5 	h_williamsS=10 	h_williamsL=10 	h_rsi=10 	rsi_shift=1 	williams_thresholdS=-15 	williams_thresholdL=-85 	order_volume=0.01 	broker_payout=0.75 	stake=100 	testmode=0
423	8.47	382	1.19	0.02	9.66	0.10%	0.00000000	h1_value=46 	h_momentum=1 	momentum_diff=5 	momentum_max=2 	n=1	h2_value=50 	trade_dur=5 	h_williamsS=10 	h_williamsL=10 	h_rsi=10 	rsi_shift=1 	williams_thresholdS=-15 	williams_thresholdL=-85 	order_volume=0.01 	broker_payout=0.75 	stake=100 	testmode=0
416	8.47	382	1.19	0.02	9.66	0.10%	0.00000000	h1_value=46 	h_momentum=9 	momentum_diff=4 	momentum_max=2 	n=1	h2_value=50 	trade_dur=5 	h_williamsS=10 	h_williamsL=10 	h_rsi=10 	rsi_shift=1 	williams_thresholdS=-15 	williams_thresholdL=-85 	order_volume=0.01 	broker_payout=0.75 	stake=100 	testmode=0
409	8.47	382	1.19	0.02	9.66	0.10%	0.00000000	h1_value=46 	h_momentum=7 	momentum_diff=4 	momentum_max=2 	n=1	h2_value=50 	trade_dur=5 	h_williamsS=10 	h_williamsL=10 	h_rsi=10 	rsi_shift=1 	williams_thresholdS=-15 	williams_thresholdL=-85 	order_volume=0.01 	broker_payout=0.75 	stake=100 	testmode=0
402	8.47	382	1.19	0.02	9.66	0.10%	0.00000000	h1_value=46 	h_momentum=5 	momentum_diff=4 	momentum_max=2 	n=1	h2_value=50 	trade_dur=5 	h_williamsS=10 	h_williamsL=10 	h_rsi=10 	rsi_shift=1 	williams_thresholdS=-15 	williams_thresholdL=-85 	order_volume=0.01 	broker_payout=0.75 	stake=100 	testmode=0
395	8.47	382	1.19	0.02	9.66	0.10%	0.00000000	h1_value=46 	h_momentum=3 	momentum_diff=4 	momentum_max=2 	n=1	h2_value=50 	trade_dur=5 	h_williamsS=10 	h_williamsL=10 	h_rsi=10 	rsi_shift=1 	williams_thresholdS=-15 	williams_thresholdL=-85 	order_volume=0.01 	broker_payout=0.75 	stake=100 	testmode=0
