1	1.51	734	1.02	0.00	7.77	0.08%	0.00000000	h2_value=5 	trade_dur=5 	h_williamsL=5 	williams_thresholdL=-85	h1_value=24 	h_williamsS=55 	h_rsi=10 	rsi_shift=1 	williams_thresholdS=-2 	order_volume=0.01 	broker_payout=0.75 	stake=100 	testmode=0
2	2.13	491	1.05	0.00	5.76	0.06%	0.00000000	h2_value=10 	trade_dur=5 	h_williamsL=5 	williams_thresholdL=-85	h1_value=24 	h_williamsS=55 	h_rsi=10 	rsi_shift=1 	williams_thresholdS=-2 	order_volume=0.01 	broker_payout=0.75 	stake=100 	testmode=0
3	-0.35	362	0.99	-0.00	6.34	0.06%	0.00000000	h2_value=15 	trade_dur=5 	h_williamsL=5 	williams_thresholdL=-85	h1_value=24 	h_williamsS=55 	h_rsi=10 	rsi_shift=1 	williams_thresholdS=-2 	order_volume=0.01 	broker_payout=0.75 	stake=100 	testmode=0
4	1.90	288	1.07	0.01	4.20	0.04%	0.00000000	h2_value=20 	trade_dur=5 	h_williamsL=5 	williams_thresholdL=-85	h1_value=24 	h_williamsS=55 	h_rsi=10 	rsi_shift=1 	williams_thresholdS=-2 	order_volume=0.01 	broker_payout=0.75 	stake=100 	testmode=0
5	1.94	249	1.08	0.01	4.57	0.05%	0.00000000	h2_value=25 	trade_dur=5 	h_williamsL=5 	williams_thresholdL=-85	h1_value=24 	h_williamsS=55 	h_rsi=10 	rsi_shift=1 	williams_thresholdS=-2 	order_volume=0.01 	broker_payout=0.75 	stake=100 	testmode=0
6	0.17	217	1.01	0.00	4.86	0.05%	0.00000000	h2_value=30 	trade_dur=5 	h_williamsL=5 	williams_thresholdL=-85	h1_value=24 	h_williamsS=55 	h_rsi=10 	rsi_shift=1 	williams_thresholdS=-2 	order_volume=0.01 	broker_payout=0.75 	stake=100 	testmode=0
7	-0.61	189	0.97	-0.00	5.37	0.05%	0.00000000	h2_value=35 	trade_dur=5 	h_williamsL=5 	williams_thresholdL=-85	h1_value=24 	h_williamsS=55 	h_rsi=10 	rsi_shift=1 	williams_thresholdS=-2 	order_volume=0.01 	broker_payout=0.75 	stake=100 	testmode=0
8	-0.09	175	1.00	-0.00	4.33	0.04%	0.00000000	h2_value=40 	trade_dur=5 	h_williamsL=5 	williams_thresholdL=-85	h1_value=24 	h_williamsS=55 	h_rsi=10 	rsi_shift=1 	williams_thresholdS=-2 	order_volume=0.01 	broker_payout=0.75 	stake=100 	testmode=0
9	0.11	166	1.01	0.00	4.02	0.04%	0.00000000	h2_value=45 	trade_dur=5 	h_williamsL=5 	williams_thresholdL=-85	h1_value=24 	h_williamsS=55 	h_rsi=10 	rsi_shift=1 	williams_thresholdS=-2 	order_volume=0.01 	broker_payout=0.75 	stake=100 	testmode=0
10	-0.82	159	0.95	-0.01	4.69	0.05%	0.00000000	h2_value=50 	trade_dur=5 	h_williamsL=5 	williams_thresholdL=-85	h1_value=24 	h_williamsS=55 	h_rsi=10 	rsi_shift=1 	williams_thresholdS=-2 	order_volume=0.01 	broker_payout=0.75 	stake=100 	testmode=0
11	5.88	638	1.09	0.01	8.56	0.09%	0.00000000	h2_value=5 	trade_dur=7 	h_williamsL=5 	williams_thresholdL=-85	h1_value=24 	h_williamsS=55 	h_rsi=10 	rsi_shift=1 	williams_thresholdS=-2 	order_volume=0.01 	broker_payout=0.75 	stake=100 	testmode=0
