1	-2.35	328	0.97	-0.01	16.16	0.16%	0.00000000	h1_value=10 	h_williamsS=10 	williams_thresholdS=-15	h2_value=5 	trade_dur=15 	n=2 	h_williamsL=15 	h_rsi=10 	rsi_shift=1 	williams_thresholdL=-86 	order_volume=0.01 	broker_payout=0.75 	m_min=0 	stake=100 	testmode=1
2	-1.85	267	0.97	-0.01	16.49	0.16%	0.00000000	h1_value=15 	h_williamsS=10 	williams_thresholdS=-15	h2_value=5 	trade_dur=15 	n=2 	h_williamsL=15 	h_rsi=10 	rsi_shift=1 	williams_thresholdL=-86 	order_volume=0.01 	broker_payout=0.75 	m_min=0 	stake=100 	testmode=1
3	-7.07	219	0.88	-0.03	15.96	0.16%	0.00000000	h1_value=20 	h_williamsS=10 	williams_thresholdS=-15	h2_value=5 	trade_dur=15 	n=2 	h_williamsL=15 	h_rsi=10 	rsi_shift=1 	williams_thresholdL=-86 	order_volume=0.01 	broker_payout=0.75 	m_min=0 	stake=100 	testmode=1
4	-7.18	182	0.86	-0.04	15.67	0.16%	0.00000000	h1_value=25 	h_williamsS=10 	williams_thresholdS=-15	h2_value=5 	trade_dur=15 	n=2 	h_williamsL=15 	h_rsi=10 	rsi_shift=1 	williams_thresholdL=-86 	order_volume=0.01 	broker_payout=0.75 	m_min=0 	stake=100 	testmode=1
5	-5.44	164	0.88	-0.03	13.26	0.13%	0.00000000	h1_value=30 	h_williamsS=10 	williams_thresholdS=-15	h2_value=5 	trade_dur=15 	n=2 	h_williamsL=15 	h_rsi=10 	rsi_shift=1 	williams_thresholdL=-86 	order_volume=0.01 	broker_payout=0.75 	m_min=0 	stake=100 	testmode=1
6	-4.07	153	0.90	-0.03	12.54	0.13%	0.00000000	h1_value=35 	h_williamsS=10 	williams_thresholdS=-15	h2_value=5 	trade_dur=15 	n=2 	h_williamsL=15 	h_rsi=10 	rsi_shift=1 	williams_thresholdL=-86 	order_volume=0.01 	broker_payout=0.75 	m_min=0 	stake=100 	testmode=1
7	-2.44	141	0.94	-0.02	12.04	0.12%	0.00000000	h1_value=40 	h_williamsS=10 	williams_thresholdS=-15	h2_value=5 	trade_dur=15 	n=2 	h_williamsL=15 	h_rsi=10 	rsi_shift=1 	williams_thresholdL=-86 	order_volume=0.01 	broker_payout=0.75 	m_min=0 	stake=100 	testmode=1
8	-0.83	134	0.98	-0.01	13.75	0.14%	0.00000000	h1_value=45 	h_williamsS=10 	williams_thresholdS=-15	h2_value=5 	trade_dur=15 	n=2 	h_williamsL=15 	h_rsi=10 	rsi_shift=1 	williams_thresholdL=-86 	order_volume=0.01 	broker_payout=0.75 	m_min=0 	stake=100 	testmode=1
9	-5.25	124	0.86	-0.04	14.59	0.15%	0.00000000	h1_value=50 	h_williamsS=10 	williams_thresholdS=-15	h2_value=5 	trade_dur=15 	n=2 	h_williamsL=15 	h_rsi=10 	rsi_shift=1 	williams_thresholdL=-86 	order_volume=0.01 	broker_payout=0.75 	m_min=0 	stake=100 	testmode=1
10	-5.50	115	0.84	-0.05	14.34	0.14%	0.00000000	h1_value=55 	h_williamsS=10 	williams_thresholdS=-15	h2_value=5 	trade_dur=15 	n=2 	h_williamsL=15 	h_rsi=10 	rsi_shift=1 	williams_thresholdL=-86 	order_volume=0.01 	broker_payout=0.75 	m_min=0 	stake=100 	testmode=1
11	-2.89	291	0.96	-0.01	12.26	0.12%	0.00000000	h1_value=10 	h_williamsS=15 	williams_thresholdS=-15	h2_value=5 	trade_dur=15 	n=2 	h_williamsL=15 	h_rsi=10 	rsi_shift=1 	williams_thresholdL=-86 	order_volume=0.01 	broker_payout=0.75 	m_min=0 	stake=100 	testmode=1
12	-8.46	274	0.88	-0.03	18.09	0.18%	0.00000000	h1_value=15 	h_williamsS=15 	williams_thresholdS=-15	h2_value=5 	trade_dur=15 	n=2 	h_williamsL=15 	h_rsi=10 	rsi_shift=1 	williams_thresholdL=-86 	order_volume=0.01 	broker_payout=0.75 	m_min=0 	stake=100 	testmode=1
13	-11.37	230	0.82	-0.05	20.46	0.20%	0.00000000	h1_value=20 	h_williamsS=15 	williams_thresholdS=-15	h2_value=5 	trade_dur=15 	n=2 	h_williamsL=15 	h_rsi=10 	rsi_shift=1 	williams_thresholdL=-86 	order_volume=0.01 	broker_payout=0.75 	m_min=0 	stake=100 	testmode=1
14	-11.61	191	0.79	-0.06	19.20	0.19%	0.00000000	h1_value=25 	h_williamsS=15 	williams_thresholdS=-15	h2_value=5 	trade_dur=15 	n=2 	h_williamsL=15 	h_rsi=10 	rsi_shift=1 	williams_thresholdL=-86 	order_volume=0.01 	broker_payout=0.75 	m_min=0 	stake=100 	testmode=1
15	-9.83	173	0.80	-0.06	16.97	0.17%	0.00000000	h1_value=30 	h_williamsS=15 	williams_thresholdS=-15	h2_value=5 	trade_dur=15 	n=2 	h_williamsL=15 	h_rsi=10 	rsi_shift=1 	williams_thresholdL=-86 	order_volume=0.01 	broker_payout=0.75 	m_min=0 	stake=100 	testmode=1
16	-8.45	161	0.82	-0.05	15.85	0.16%	0.00000000	h1_value=35 	h_williamsS=15 	williams_thresholdS=-15	h2_value=5 	trade_dur=15 	n=2 	h_williamsL=15 	h_rsi=10 	rsi_shift=1 	williams_thresholdL=-86 	order_volume=0.01 	broker_payout=0.75 	m_min=0 	stake=100 	testmode=1
17	-6.87	149	0.85	-0.05	15.03	0.15%	0.00000000	h1_value=40 	h_williamsS=15 	williams_thresholdS=-15	h2_value=5 	trade_dur=15 	n=2 	h_williamsL=15 	h_rsi=10 	rsi_shift=1 	williams_thresholdL=-86 	order_volume=0.01 	broker_payout=0.75 	m_min=0 	stake=100 	testmode=1
