4862	7.66	393	1.29	0.02	3.37	0.03%	0.00000000	h_value=40 	sigma_calc=13 	seq_limit=6 	k2_val=0.7 	sigma_th=0.4	trade_dur=5 	order_volume=0.01 	k1_val=0.01 	toggle_candles=1 	toggle_doji_marubozu=1 	toggle_sstar=1 	toggle_hman=1
2395	7.66	393	1.29	0.02	3.37	0.03%	0.00000000	h_value=40 	sigma_calc=13 	seq_limit=6 	k2_val=0.7 	sigma_th=0.3	trade_dur=5 	order_volume=0.01 	k1_val=0.01 	toggle_candles=1 	toggle_doji_marubozu=1 	toggle_sstar=1 	toggle_hman=1
4671	6.93	427	1.23	0.02	3.22	0.03%	0.00000000	h_value=70 	sigma_calc=8 	seq_limit=3 	k2_val=0.7 	sigma_th=0.4	trade_dur=5 	order_volume=0.01 	k1_val=0.01 	toggle_candles=1 	toggle_doji_marubozu=1 	toggle_sstar=1 	toggle_hman=1
2204	6.93	427	1.23	0.02	3.22	0.03%	0.00000000	h_value=70 	sigma_calc=8 	seq_limit=3 	k2_val=0.7 	sigma_th=0.3	trade_dur=5 	order_volume=0.01 	k1_val=0.01 	toggle_candles=1 	toggle_doji_marubozu=1 	toggle_sstar=1 	toggle_hman=1
4672	6.74	421	1.24	0.02	3.54	0.04%	0.00000000	h_value=75 	sigma_calc=8 	seq_limit=3 	k2_val=0.7 	sigma_th=0.4	trade_dur=5 	order_volume=0.01 	k1_val=0.01 	toggle_candles=1 	toggle_doji_marubozu=1 	toggle_sstar=1 	toggle_hman=1
2205	6.74	421	1.24	0.02	3.54	0.04%	0.00000000	h_value=75 	sigma_calc=8 	seq_limit=3 	k2_val=0.7 	sigma_th=0.3	trade_dur=5 	order_volume=0.01 	k1_val=0.01 	toggle_candles=1 	toggle_doji_marubozu=1 	toggle_sstar=1 	toggle_hman=1
6288	6.67	248	1.49	0.03	2.25	0.02%	0.00000000	h_value=75 	sigma_calc=8 	seq_limit=3 	k2_val=0.5 	sigma_th=0.5	trade_dur=5 	order_volume=0.01 	k1_val=0.01 	toggle_candles=1 	toggle_doji_marubozu=1 	toggle_sstar=1 	toggle_hman=1
3821	6.67	248	1.49	0.03	2.25	0.02%	0.00000000	h_value=75 	sigma_calc=8 	seq_limit=3 	k2_val=0.5 	sigma_th=0.4	trade_dur=5 	order_volume=0.01 	k1_val=0.01 	toggle_candles=1 	toggle_doji_marubozu=1 	toggle_sstar=1 	toggle_hman=1
1354	6.67	248	1.49	0.03	2.25	0.02%	0.00000000	h_value=75 	sigma_calc=8 	seq_limit=3 	k2_val=0.5 	sigma_th=0.3	trade_dur=5 	order_volume=0.01 	k1_val=0.01 	toggle_candles=1 	toggle_doji_marubozu=1 	toggle_sstar=1 	toggle_hman=1
6277	6.49	179	1.70	0.04	1.44	0.01%	0.00000000	h_value=75 	sigma_calc=7 	seq_limit=3 	k2_val=0.5 	sigma_th=0.5	trade_dur=5 	order_volume=0.01 	k1_val=0.01 	toggle_candles=1 	toggle_doji_marubozu=1 	toggle_sstar=1 	toggle_hman=1
3810	6.49	179	1.70	0.04	1.44	0.01%	0.00000000	h_value=75 	sigma_calc=7 	seq_limit=3 	k2_val=0.5 	sigma_th=0.4	trade_dur=5 	order_volume=0.01 	k1_val=0.01 	toggle_candles=1 	toggle_doji_marubozu=1 	toggle_sstar=1 	toggle_hman=1
1343	6.49	179	1.70	0.04	1.44	0.01%	0.00000000	h_value=75 	sigma_calc=7 	seq_limit=3 	k2_val=0.5 	sigma_th=0.3	trade_dur=5 	order_volume=0.01 	k1_val=0.01 	toggle_candles=1 	toggle_doji_marubozu=1 	toggle_sstar=1 	toggle_hman=1
4851	6.49	300	1.34	0.02	2.69	0.03%	0.00000000	h_value=40 	sigma_calc=12 	seq_limit=6 	k2_val=0.7 	sigma_th=0.4	trade_dur=5 	order_volume=0.01 	k1_val=0.01 	toggle_candles=1 	toggle_doji_marubozu=1 	toggle_sstar=1 	toggle_hman=1
2384	6.49	300	1.34	0.02	2.69	0.03%	0.00000000	h_value=40 	sigma_calc=12 	seq_limit=6 	k2_val=0.7 	sigma_th=0.3	trade_dur=5 	order_volume=0.01 	k1_val=0.01 	toggle_candles=1 	toggle_doji_marubozu=1 	toggle_sstar=1 	toggle_hman=1
4643	6.49	188	1.56	0.03	1.75	0.02%	0.00000000	h_value=40 	sigma_calc=6 	seq_limit=3 	k2_val=0.7 	sigma_th=0.4	trade_dur=5 	order_volume=0.01 	k1_val=0.01 	toggle_candles=1 	toggle_doji_marubozu=1 	toggle_sstar=1 	toggle_hman=1
2176	6.49	188	1.56	0.03	1.75	0.02%	0.00000000	h_value=40 	sigma_calc=6 	seq_limit=3 	k2_val=0.7 	sigma_th=0.3	trade_dur=5 	order_volume=0.01 	k1_val=0.01 	toggle_candles=1 	toggle_doji_marubozu=1 	toggle_sstar=1 	toggle_hman=1
6912	6.39	234	1.45	0.03	2.24	0.02%	0.00000000	h_value=45 	sigma_calc=12 	seq_limit=6 	k2_val=0.6 	sigma_th=0.5	trade_dur=5 	order_volume=0.01 	k1_val=0.01 	toggle_candles=1 	toggle_doji_marubozu=1 	toggle_sstar=1 	toggle_hman=1
4445	6.39	234	1.45	0.03	2.24	0.02%	0.00000000	h_value=45 	sigma_calc=12 	seq_limit=6 	k2_val=0.6 	sigma_th=0.4	trade_dur=5 	order_volume=0.01 	k1_val=0.01 	toggle_candles=1 	toggle_doji_marubozu=1 	toggle_sstar=1 	toggle_hman=1
1978	6.39	234	1.45	0.03	2.24	0.02%	0.00000000	h_value=45 	sigma_calc=12 	seq_limit=6 	k2_val=0.6 	sigma_th=0.3	trade_dur=5 	order_volume=0.01 	k1_val=0.01 	toggle_candles=1 	toggle_doji_marubozu=1 	toggle_sstar=1 	toggle_hman=1
6376	6.31	207	1.58	0.03	1.95	0.02%	0.00000000	h_value=75 	sigma_calc=9 	seq_limit=4 	k2_val=0.5 	sigma_th=0.5	trade_dur=5 	order_volume=0.01 	k1_val=0.01 	toggle_candles=1 	toggle_doji_marubozu=1 	toggle_sstar=1 	toggle_hman=1
3909	6.31	207	1.58	0.03	1.95	0.02%	0.00000000	h_value=75 	sigma_calc=9 	seq_limit=4 	k2_val=0.5 	sigma_th=0.4	trade_dur=5 	order_volume=0.01 	k1_val=0.01 	toggle_candles=1 	toggle_doji_marubozu=1 	toggle_sstar=1 	toggle_hman=1
1442	6.31	207	1.58	0.03	1.95	0.02%	0.00000000	h_value=75 	sigma_calc=9 	seq_limit=4 	k2_val=0.5 	sigma_th=0.3	trade_dur=5 	order_volume=0.01 	k1_val=0.01 	toggle_candles=1 	toggle_doji_marubozu=1 	toggle_sstar=1 	toggle_hman=1
4708	6.30	221	1.46	0.03	1.97	0.02%	0.00000000	h_value=55 	sigma_calc=8 	seq_limit=4 	k2_val=0.7 	sigma_th=0.4	trade_dur=5 	order_volume=0.01 	k1_val=0.01 	toggle_candles=1 	toggle_doji_marubozu=1 	toggle_sstar=1 	toggle_hman=1
2241	6.30	221	1.46	0.03	1.97	0.02%	0.00000000	h_value=55 	sigma_calc=8 	seq_limit=4 	k2_val=0.7 	sigma_th=0.3	trade_dur=5 	order_volume=0.01 	k1_val=0.01 	toggle_candles=1 	toggle_doji_marubozu=1 	toggle_sstar=1 	toggle_hman=1
4705	6.25	226	1.44	0.03	2.37	0.02%	0.00000000	h_value=40 	sigma_calc=8 	seq_limit=4 	k2_val=0.7 	sigma_th=0.4	trade_dur=5 	order_volume=0.01 	k1_val=0.01 	toggle_candles=1 	toggle_doji_marubozu=1 	toggle_sstar=1 	toggle_hman=1
2238	6.25	226	1.44	0.03	2.37	0.02%	0.00000000	h_value=40 	sigma_calc=8 	seq_limit=4 	k2_val=0.7 	sigma_th=0.3	trade_dur=5 	order_volume=0.01 	k1_val=0.01 	toggle_candles=1 	toggle_doji_marubozu=1 	toggle_sstar=1 	toggle_hman=1
4706	6.24	226	1.43	0.03	2.61	0.03%	0.00000000	h_value=45 	sigma_calc=8 	seq_limit=4 	k2_val=0.7 	sigma_th=0.4	trade_dur=5 	order_volume=0.01 	k1_val=0.01 	toggle_candles=1 	toggle_doji_marubozu=1 	toggle_sstar=1 	toggle_hman=1
