1560	36044.91	40	2.83	901.12	10272.67	34.71%	0.00000000	MaximumRisk=0.1 	h_williamsS=50 	h_williamsL=50 	williams_thresholdS=-4 	williams_thresholdL=-80	Lots=0.1 	DecreaseFactor=3 	MovingPeriod=12 	MovingShift=6
4500	35289.57	38	2.97	928.67	10981.13	34.41%	0.00000000	MaximumRisk=0.1 	h_williamsS=50 	h_williamsL=50 	williams_thresholdS=-4 	williams_thresholdL=-84	Lots=0.1 	DecreaseFactor=3 	MovingPeriod=12 	MovingShift=6
10380	33855.82	36	2.62	940.44	12326.36	34.09%	0.00000000	MaximumRisk=0.1 	h_williamsS=50 	h_williamsL=50 	williams_thresholdS=-4 	williams_thresholdL=-92	Lots=0.1 	DecreaseFactor=3 	MovingPeriod=12 	MovingShift=6
7440	32315.82	37	2.45	873.40	12065.28	34.21%	0.00000000	MaximumRisk=0.1 	h_williamsS=50 	h_williamsL=50 	williams_thresholdS=-4 	williams_thresholdL=-88	Lots=0.1 	DecreaseFactor=3 	MovingPeriod=12 	MovingShift=6
13260	30694.97	32	3.30	959.22	9450.42	30.28%	0.00000000	MaximumRisk=0.1 	h_williamsS=70 	h_williamsL=30 	williams_thresholdS=-4 	williams_thresholdL=-96	Lots=0.1 	DecreaseFactor=3 	MovingPeriod=12 	MovingShift=6
1559	29916.48	40	2.90	747.91	8147.29	30.74%	0.00000000	MaximumRisk=0.09 	h_williamsS=50 	h_williamsL=50 	williams_thresholdS=-4 	williams_thresholdL=-80	Lots=0.1 	DecreaseFactor=3 	MovingPeriod=12 	MovingShift=6
4510	29883.99	31	3.78	964.00	8190.74	28.76%	0.00000000	MaximumRisk=0.1 	h_williamsS=70 	h_williamsL=50 	williams_thresholdS=-4 	williams_thresholdL=-84	Lots=0.1 	DecreaseFactor=3 	MovingPeriod=12 	MovingShift=6
10530	29447.19	26	2.99	1132.58	12378.10	30.73%	0.00000000	MaximumRisk=0.1 	h_williamsS=70 	h_williamsL=90 	williams_thresholdS=-4 	williams_thresholdL=-92	Lots=0.1 	DecreaseFactor=3 	MovingPeriod=12 	MovingShift=6
13250	29363.55	38	2.36	772.72	16903.81	46.84%	0.00000000	MaximumRisk=0.1 	h_williamsS=50 	h_williamsL=30 	williams_thresholdS=-4 	williams_thresholdL=-96	Lots=0.1 	DecreaseFactor=3 	MovingPeriod=12 	MovingShift=6
13450	28788.54	32	2.27	899.64	13320.58	34.27%	0.00000000	MaximumRisk=0.1 	h_williamsS=30 	h_williamsL=90 	williams_thresholdS=-4 	williams_thresholdL=-96	Lots=0.1 	DecreaseFactor=3 	MovingPeriod=12 	MovingShift=6
1570	28669.46	32	3.32	895.92	6946.14	24.76%	0.00000000	MaximumRisk=0.1 	h_williamsS=70 	h_williamsL=50 	williams_thresholdS=-4 	williams_thresholdL=-80	Lots=0.1 	DecreaseFactor=3 	MovingPeriod=12 	MovingShift=6
10379	28601.32	36	2.72	794.48	9636.40	30.69%	0.00000000	MaximumRisk=0.09 	h_williamsS=50 	h_williamsL=50 	williams_thresholdS=-4 	williams_thresholdL=-92	Lots=0.1 	DecreaseFactor=3 	MovingPeriod=12 	MovingShift=6
13470	28575.24	25	3.08	1143.01	12034.26	30.95%	0.00000000	MaximumRisk=0.1 	h_williamsS=70 	h_williamsL=90 	williams_thresholdS=-4 	williams_thresholdL=-96	Lots=0.1 	DecreaseFactor=3 	MovingPeriod=12 	MovingShift=6
4499	28381.67	38	3.00	746.89	8855.75	31.45%	0.00000000	MaximumRisk=0.09 	h_williamsS=50 	h_williamsL=50 	williams_thresholdS=-4 	williams_thresholdL=-84	Lots=0.1 	DecreaseFactor=3 	MovingPeriod=12 	MovingShift=6
10520	27951.06	30	2.34	931.70	14488.98	46.43%	0.00000000	MaximumRisk=0.1 	h_williamsS=50 	h_williamsL=90 	williams_thresholdS=-4 	williams_thresholdL=-92	Lots=0.1 	DecreaseFactor=3 	MovingPeriod=12 	MovingShift=6
10390	27365.07	30	3.07	912.17	10759.86	27.51%	0.00000000	MaximumRisk=0.1 	h_williamsS=70 	h_williamsL=50 	williams_thresholdS=-4 	williams_thresholdL=-92	Lots=0.1 	DecreaseFactor=3 	MovingPeriod=12 	MovingShift=6
7439	27222.03	37	2.52	735.73	9557.27	31.19%	0.00000000	MaximumRisk=0.09 	h_williamsS=50 	h_williamsL=50 	williams_thresholdS=-4 	williams_thresholdL=-88	Lots=0.1 	DecreaseFactor=3 	MovingPeriod=12 	MovingShift=6
