trade;call wrate;put wrate;;;net
1;0;0;0;0;80
2;0;0;0;0;-20
3;0;0;0;0;60
4;0;0;0;0;-40
5;0;0;0;0;40
6;0;0;0;0;120
7;0;0;0;0;20
8;0;0;0;0;100
9;0;0;0;0;180
10;0;0;0;0;80
11;0;0;0;0;160
12;0;0;0;0;60
13;0;0;0;0;-40
14;0;0;0;0;40
15;0;0;0;0;120
16;0;0;0;0;200
17;0;0;0;0;100
18;0;0;0;0;0
19;0;0;0;0;80
20;0;0;0;0;-20
21;0;0;0;0;60
22;0;0;0;0;-40
23;0;0;0;0;-140
24;0;0;0;0;-60
25;0;0;0;0;-160
26;0;0;0;0;-260
27;0;0;0;0;-180
28;0;0;0;0;-100
29;0;0;0;0;-20
30;0;0;0;0;-120
31;0;0;0;0;-40
32;0;0;0;0;-140
33;0;0;0;0;-60
34;0;0;0;0;20
35;0;0;0;0;100
36;0;0;0;0;180
37;0;0;0;0;80
38;0;0;0;0;-20
39;0;0;0;0;-120
40;0;0;0;0;-40
41;0;0;0;0;40
42;0;0;0;0;120
43;0;0;0;0;20
44;0;0;0;0;100
45;0;0;0;0;0
46;0;0;0;0;80
47;0;0;0;0;-20
48;0;0;0;0;60
49;0;0;0;0;140
50;0;0;0;0;40
51;0;0;0;0;120
52;0;0;0;0;20
53;0;0;0;0;-80
54;0;0;0;0;-180
55;0;0;0;0;-280
56;0;0;0;0;-380
57;0;0;0;0;-300
58;0;0;0;0;-400
59;0;0;0;0;-500
60;0;0;0;0;-600
61;0;0;0;0;-700
62;0;0;0;0;-800
63;0;0;0;0;-720
64;0;0;0;0;-820
65;0;0;0;0;-820
66;0;0;0;0;-740
67;0;0;0;0;-840
68;0;0;0;0;-760
69;0;0;0;0;-680
70;0;0;0;0;-780
71;0;0;0;0;-700
72;0;0;0;0;-620
73;0;0;0;0;-720
74;0;0;0;0;-820
75;0;0;0;0;-740
76;0;0;0;0;-660
77;0;0;0;0;-760
78;0;0;0;0;-680
79;0;0;0;0;-600
80;0;0;0;0;-520
81;0;0;0;0;-620
82;0;0;0;0;-540
83;0;0;0;0;-460
84;0;0;0;0;-380
85;0;0;0;0;-480
86;0;0;0;0;-400
87;0;0;0;0;-500
88;0;0;0;0;-420
89;0;0;0;0;-520
90;0;0;0;0;-440
91;0;0;0;0;-360
92;0;0;0;0;-280
93;0;0;0;0;-200
94;0;0;0;0;-120
95;0;0;0;0;-220
96;0;0;0;0;-320
97;0;0;0;0;-240
98;0;0;0;0;-160
99;0;0;0;0;-80
100;0;0;0;0;-180
101;0;0;0;0;-280
102;0;0;0;0;-200
103;0;0;0;0;-300
104;0;0;0;0;-400
105;0;0;0;0;-320
106;0;0;0;0;-420
107;0;0;0;0;-340
108;0;0;0;0;-260
109;0;0;0;0;-180
110;0;0;0;0;-100
111;0;0;0;0;-200
112;0;0;0;0;-120
113;0;0;0;0;-40
114;0;0;0;0;40
115;0;0;0;0;-60
116;0;0;0;0;20
117;0;0;0;0;100
118;0;0;0;0;180
119;0;0;0;0;80
120;0;0;0;0;160
121;0;0;0;0;60
122;0;0;0;0;-40
123;0;0;0;0;-140
124;0;0;0;0;-240
125;0;0;0;0;-160
126;0;0;0;0;-260
127;0;0;0;0;-180
128;0;0;0;0;-100
129;0;0;0;0;-200
130;0;0;0;0;-300
131;0;0;0;0;-400
132;0;0;0;0;-320
133;0;0;0;0;-240
134;0;0;0;0;-160
135;0;0;0;0;-80
136;0;0;0;0;0
137;0;0;0;0;-100
138;0;0;0;0;-20
139;0;0;0;0;60
140;0;0;0;0;140
141;0;0;0;0;40
142;0;0;0;0;-60
143;0;0;0;0;-160
144;0;0;0;0;-80
145;0;0;0;0;-180
146;0;0;0;0;-100
147;0;0;0;0;-20
148;0;0;0;0;60
149;0;0;0;0;140
150;0;0;0;0;220
151;0;0;0;0;120
152;0;0;0;0;20
153;0;0;0;0;100
154;0;0;0;0;180
155;0;0;0;0;180
156;0;0;0;0;260
157;0;0;0;0;160
158;0;0;0;0;240
159;0;0;0;0;140
160;0;0;0;0;40
161;0;0;0;0;120
162;0;0;0;0;200
163;0;0;0;0;280
164;0;0;0;0;180
165;0;0;0;0;80
166;0;0;0;0;160
167;0;0;0;0;240
168;0;0;0;0;320
169;0;0;0;0;220
170;0;0;0;0;120
171;0;0;0;0;200
172;0;0;0;0;280
173;0;0;0;0;360
174;0;0;0;0;440
175;0;0;0;0;520
176;0;0;0;0;600
177;0;0;0;0;680
178;0;0;0;0;760
179;0;0;0;0;840
180;0;0;0;0;920
181;0;0;0;0;1000
182;0;0;0;0;1080
183;0;0;0;0;980
184;0;0;0;0;880
185;0;0;0;0;780
186;0;0;0;0;680
187;0;0;0;0;760
188;0;0;0;0;840
189;0;0;0;0;920
190;0;0;0;0;820
191;0;0;0;0;900
192;0;0;0;0;800
193;0;0;0;0;880
194;0;0;0;0;780
195;0;0;0;0;680
196;0;0;0;0;580
197;0;0;0;0;480
198;0;0;0;0;380
199;0;0;0;0;460
200;0;0;0;0;360
201;0;0.54;0;540;440
202;0.58;0.54;580;540;520
203;0.58;0.55;580;550;600
204;0.59;0.55;590;550;680
205;0.59;0.55;590;550;580
206;0.59;0.54;590;540;480
207;0.59;0.54;590;540;560
208;0.59;0.54;590;540;460
209;0.59;0.54;590;540;360
210;0.59;0.53;590;530;440
211;0.59;0.53;590;530;340
212;0.59;0.54;590;540;240
213;0.59;0.53;590;530;320
214;0.59;0.53;590;530;400
215;0.59;0.53;590;530;300
