,0
0,0.0
1,32.5
2,63.0
3,65.5
4,-3.0
5,49.5
6,41.0
7,82.5
8,141.0
9,134.5
10,87.0
11,110.5
12,-42.0
13,3.5
14,23.0
15,110.5
16,235.0
17,176.5
18,269.0
19,326.5
20,243.0
21,203.5
22,47.0
23,175.5
24,219.0
25,231.5
26,261.0
27,314.5
28,171.0
29,199.5
30,56.0
31,151.5
32,131.0
33,215.5
34,88.0
35,113.5
36,121.0
37,199.5
38,278.0
39,314.5
40,393.0
41,453.5
42,370.0
43,481.5
44,469.0
45,507.5
46,498.0
47,257.5
48,361.0
49,435.5
50,468.0
51,443.5
52,427.0
53,276.5
54,320.0
55,390.5
56,339.0
57,268.5
58,328.0
59,307.5
60,271.0
61,171.5
62,163.0
63,149.5
64,105.0
65,138.5
66,67.0
67,180.5
68,294.0
69,279.5
70,184.0
71,153.5
72,97.0
73,204.5
74,213.0
75,214.5
76,297.0
77,327.5
78,412.0
79,350.5
80,402.0
81,325.5
82,307.0
83,251.5
84,248.0
85,252.5
86,292.0
87,238.5
88,229.0
89,284.5
90,316.0
91,315.5
92,228.0
93,247.5
94,169.0
95,145.5
96,132.0
97,121.5
98,100.0
99,97.5
100,75.0
101,-2.5
102,-3.0
103,67.5
104,0.0
105,11.5
106,-9.0
107,-9.5
108,-116.0
109,-101.5
110,-165.0
111,-160.5
112,-158.0
113,-108.5
114,-26.0
115,-53.5
116,44.0
117,113.5
118,131.0
119,222.5
120,262.0
121,226.5
122,327.0
123,418.5
124,388.0
125,451.5
126,519.0
127,495.5
128,431.0
129,441.5
130,386.0
131,405.5
132,412.0
133,449.5
134,409.0
135,366.5
136,366.0
137,400.5
138,441.0
139,409.5
140,432.0
141,485.5
142,490.0
143,501.5
144,563.0
145,500.5
146,499.0
147,426.5
148,393.0
149,289.5
150,304.0
151,319.5
152,272.0
153,363.5
154,302.0
155,303.5
156,322.0
157,373.5
158,383.0
159,403.5
160,409.0
161,261.5
162,308.0
163,279.5
164,293.0
165,299.5
166,310.0
167,222.5
168,247.0
169,85.5
170,90.0
171,79.5
172,89.0
173,110.5
174,15.0
175,-24.5
176,-47.0
177,39.5
178,126.0
179,201.5
180,241.0
181,140.5
182,148.0
183,203.5
184,219.0
185,291.5
186,241.0
187,108.5
188,136.0
189,217.5
190,288.0
191,284.5
192,390.0
193,420.5
194,346.0
195,346.5
196,293.0
197,342.5
198,345.0
199,352.5
200,386.0
201,430.5
202,439.0
203,395.5
204,348.0
205,391.5
206,424.0
207,417.5
208,415.0
209,416.5
210,434.0
211,340.5
212,412.0
213,494.5
214,417.0
215,514.5
216,541.0
217,564.5
218,582.0
219,610.5
220,610.0
221,720.5
222,783.0
223,743.5
224,847.0
225,950.5
226,1049.0
227,1057.5
228,959.0
229,1045.5
230,966.0
231,971.5
232,953.0
233,1019.5
234,982.0
235,1005.5
236,1018.0
237,944.5
238,1037.0
239,1129.5
240,1055.0
241,990.5
242,997.0
243,1080.5
244,1126.0
245,1282.5
246,1269.0
247,1257.5
248,1239.0
249,1263.5
250,1292.0
251,1362.5
252,1357.0
253,1423.5
254,1433.0
255,1491.5
256,1422.0
257,1499.5
258,1449.0
259,1444.5
260,1385.0
261,1334.5
262,1352.0
263,1394.5
264,1446.0
265,1533.5
266,1546.0
267,1489.5
268,1544.0
269,1506.5
270,1469.0
271,1540.5
272,1689.0
273,1666.5
274,1707.0
275,1793.5
276,1678.0
277,1769.5
278,1841.0
279,1885.5
280,1926.0
281,2025.5
282,2011.0
283,2047.5
284,2072.0
285,1955.5
286,1883.0
287,1861.5
288,1775.0
289,1780.5
290,1845.0
291,1905.5
292,1908.0
293,1924.5
294,1951.0
295,2039.5
296,2102.0
297,2051.5
298,2099.0
299,2101.5
300,2162.0
301,2093.5
302,2059.0
303,2039.5
304,2098.0
305,2157.5
306,2216.0
307,2231.5
308,2234.0
309,2262.5
310,2274.0
311,2191.5
312,2276.0
313,2464.5
314,2561.0
315,2480.5
316,2510.0
317,2432.5
318,2508.0
319,2576.5
320,2501.0
321,2489.5
322,2556.0
323,2549.5
324,2614.0
325,2536.5
326,2518.0
327,2509.5
328,2472.0
329,2583.5
330,2541.0
331,2417.5
332,2446.0
333,2497.5
334,2513.0
335,2537.5
336,2465.0
337,2380.5
338,2288.0
339,2302.5
340,2316.0
341,2403.5
342,2397.0
343,2473.5
344,2553.0
345,2632.5
346,2528.0
347,2514.5
348,2512.0
349,2520.5
350,2550.0
351,2469.5
352,2472.0
353,2448.5
354,2483.0
355,2503.5
356,2532.0
357,2472.5
358,2524.0
359,2494.5
360,2571.0
361,2516.5
362,2518.0
363,2366.5
364,2450.0
365,2486.5
366,2305.0
367,2359.5
368,2480.0
369,2499.5
370,2500.0
371,2456.5
372,2535.0
373,2443.5
374,2545.0
375,2472.5
376,2405.0
377,2277.5
378,2278.0
379,2279.5
380,2294.0
381,2353.5
382,2269.0
383,2194.5
384,2286.0
385,2381.5
386,2406.0
387,2349.5
388,2399.0
389,2405.5
390,2436.0
391,2419.5
392,2443.0
393,2462.5
394,2492.0
395,2481.5
