,0
0,0
1,12
2,-116
3,-145
4,-222
5,-226
6,-276
7,-248
8,-245
9,-240
10,-214
11,-209
12,-233
13,-302
14,-274
15,-278
16,-239
17,-238
18,-234
19,-199
20,-253
21,-220
22,-197
23,-287
24,-193
25,-165
26,-160
27,-158
28,-137
29,-135
30,-110
31,-87
32,-113
33,-111
34,-29
35,-87
36,-78
37,-31
38,-16
39,50
40,-46
41,9
42,-23
43,165
44,184
45,121
46,150
47,238
48,230
49,290
50,264
51,262
52,264
53,285
54,282
55,284
56,244
57,197
58,158
59,169
60,179
61,171
62,170
63,177
64,172
65,199
66,106
67,185
68,223
69,217
70,291
71,360
72,378
73,387
74,351
75,319
76,318
77,319
78,321
79,346
80,386
81,409
82,417
83,413
84,441
85,376
86,383
87,376
88,379
89,438
90,452
91,453
92,506
93,492
94,537
95,494
96,513
97,514
98,468
99,494
100,535
101,577
102,608
103,596
104,550
105,557
106,559
107,591
108,553
109,551
110,560
111,555
112,558
113,588
114,612
115,575
116,575
117,563
118,566
119,574
120,586
121,624
122,640
123,638
124,652
125,695
126,712
127,725
128,731
129,812
130,810
131,845
132,855
133,889
134,811
135,878
136,838
137,832
138,691
139,544
140,522
141,389
142,354
143,404
144,392
145,388
146,384
147,411
148,363
149,284
150,170
151,87
152,-13
153,-5
154,106
155,217
156,201
157,304
158,259
159,287
160,287
161,305
162,422
163,421
164,418
165,425
166,436
167,472
168,550
169,575
170,579
171,632
172,633
173,559
174,581
175,608
176,646
177,589
178,654
179,639
180,640
181,749
182,810
183,719
184,776
185,764
186,850
187,876
188,892
189,895
190,969
191,965
192,1014
193,1021
194,897
195,898
196,800
197,869
198,805
199,882
200,924
201,1012
202,964
203,971
204,1037
205,1024
206,960
207,952
208,990
209,950
210,954
211,960
212,1001
213,999
214,946
215,925
216,923
217,910
218,891
219,825
220,741
221,746
222,753
223,654
224,774
225,906
226,910
227,866
228,735
229,731
230,738
231,740
232,772
233,793
234,702
235,767
236,761
237,787
238,865
239,789
240,811
241,777
242,692
243,712
244,783
245,802
246,792
247,830
248,827
249,805
250,736
251,619
252,678
253,687
254,781
255,733
256,761
257,770
258,774
259,788
260,917
261,905
262,963
263,919
264,889
265,893
266,898
267,833
268,731
269,791
270,804
271,763
272,800
273,741
274,633
275,637
276,647
277,650
278,482
279,335
280,319
281,266
282,227
283,233
284,156
285,139
286,173
287,216
288,222
289,222
290,179
291,221
292,238
293,189
294,144
295,142
296,139
297,93
298,121
299,52
300,61
301,121
302,114
303,154
304,169
305,104
306,134
307,65
308,119
309,135
310,135
311,151
312,349
313,285
314,367
315,336
316,339
317,341
318,396
319,402
320,405
321,343
322,366
323,366
324,390
325,392
326,397
327,502
328,494
329,437
330,429
331,378
332,324
333,386
334,438
335,498
336,473
337,472
338,466
339,418
340,443
341,459
342,459
343,412
344,367
345,318
346,302
347,242
348,301
349,234
350,241
351,231
352,238
353,262
354,322
355,385
356,379
357,393
358,439
359,386
360,420
361,357
362,359
363,379
364,378
365,428
366,384
367,376
368,366
369,307
370,295
371,336
372,377
373,389
374,452
375,463
376,480
377,540
378,534
379,523
380,545
381,530
382,590
383,596
384,584
385,580
386,571
387,620
388,649
389,653
390,783
391,913
392,975
393,949
394,995
395,1026
396,1033
397,1042
398,1058
399,1007
400,1018
401,1026
402,1029
403,1092
404,1109
405,1066
406,1056
407,1010
408,1017
409,1029
410,1078
411,1063
412,1071
413,1095
414,1018
415,1013
416,1049
417,1117
418,1123
419,1137
420,1104
421,1107
422,1062
423,1091
424,1128
425,1179
